date,open,high,low,close,volume
2015-06-02,3240.796,3269.216,3201.224,3258.31,13480052800
2015-06-03,3251.909,3259.706,3193.544,3238.428,12830697600
2015-06-04,3244.459,3316.501,3113.222,3299.03,18456793600
2015-06-05,3349.573,3365.59,3234.246,3303.988,18814564800
2015-06-08,3333.833,3469.216,3308.296,3458.707,24825404800
2015-06-09,3494.823,3494.823,3376.025,3413.996,22044856000
2015-06-10,3362.807,3415.276,3338.684,3370.383,15529468800
2015-06-11,3368.999,3383.488,3313.59,3347.116,13807385600
2015-06-12,3364.443,3374.815,3319.2,3350.248,14526225600
2015-06-15,3359.707,3366.839,3254.619,3262.479,16732256000
2015-06-16,3233.147,3275.474,3149.083,3179.652,15596990400
2015-06-17,3198.143,3222.438,3144.488,3211.707,15957156800
2015-06-18,3183.229,3183.229,3067.485,3068.488,13734504000
2015-06-19,3030.224,3067.817,2900.791,2903.057,13178392000
2015-06-23,2907.075,3007.626,2822.471,3003.163,13561764800
2015-06-24,3009.769,3052.113,2962.647,3045.244,14158588800
2015-06-25,3069.4,3082.558,2929.107,2943.99,16015830400
2015-06-26,2875.122,2953.959,2678.769,2736.695,18335580800
2015-06-29,2802.772,2822.113,2530.83,2678.368,21201872000
2015-06-30,2678.634,2872.508,2628.004,2870.025,21959230400
2015-07-01,2823.944,2872.907,2721.476,2736.847,16995769600
2015-07-02,2767.986,2805.667,2611.863,2714.247,20904576000
2015-07-03,2674.557,2738.658,2511.165,2582.266,18436192000
2015-07-06,2807.754,2807.754,2649.558,2749.998,34483427200
2015-07-07,2682.501,2825.486,2612.115,2812.446,35031478400
2015-07-08,2596.712,2760.522,2546.462,2608.977,37745939200
2015-07-09,2575.343,2828.752,2493.644,2781.077,27117676800
2015-07-10,2749.12,2997.597,2717.712,2898.41,29625184000
2015-07-13,2855.7,2949.197,2805.913,2869.051,23334105600
2015-07-14,2821.971,2843.248,2717.031,2763.073,19436841600
2015-07-15,2725.924,2779.948,2665.95,2757.951,18594803200
2015-07-16,2754.829,2779.997,2708.715,2742.847,13524616000
2015-07-17,2756.866,2834.179,2723.739,2807.065,13024111200
2015-07-20,2798.56,2815.701,2766.943,2783.761,13086249600
2015-07-21,2757.66,2799.815,2743.155,2772.774,11582657600
2015-07-22,2757.284,2770.996,2721.354,2739.786,10665452800
2015-07-23,2741.424,2796.368,2736.375,2790.764,11358204000
2015-07-24,2794.054,2807.62,2735.299,2741.044,12392891200
2015-07-27,2698.798,2715.359,2491.119,2493.29,13664510400
2015-07-28,2427.028,2531.231,2400.866,2485.674,14033884800
2015-07-29,2496.895,2535.602,2459.082,2531.445,9307815200
2015-07-30,2525.084,2548.27,2459.924,2467.367,8694982400
2015-07-31,2452.047,2490.659,2432.494,2461.24,7472537600
2015-08-03,2433.242,2479.951,2419.85,2479.724,8807340800
2015-08-04,2476.158,2535.28,2462.73,2534.711,6603231600
2015-08-05,2529.133,2537.354,2485.598,2487.062,6288967200
2015-08-06,2452.528,2505.534,2446.959,2467.525,4780004800
2015-08-07,2489.805,2520.038,2479.246,2503.796,5756324000
2015-08-10,2527.616,2626.358,2517.947,2617.659,10962661600
2015-08-11,2612.948,2623.837,2578.649,2590.71,9958425600
2015-08-12,2562.681,2598.508,2557.26,2561.127,7535252800
2015-08-13,2562.874,2585.923,2522.352,2580.778,7008074400
2015-08-14,2588.432,2592.17,2565.592,2577.038,7294156800
2015-08-17,2560.371,2561.963,2524.128,2550.467,7113381600
2015-08-18,2554.076,2572.213,2405.828,2407.967,10124871200
2015-08-19,2379.209,2431.611,2326.236,2430.281,9048532000
2015-08-20,2406.57,2421.026,2356.334,2356.917,6834685600
2015-08-21,2336.45,2362.844,2261.307,2271.359,7846755200
2015-08-24,2195.457,2203.634,2046.845,2058.252,11542038400
2015-08-25,1947.145,2044.559,1890.379,1914.052,11856957600
2015-08-26,1930.201,2028.402,1874.216,1942.45,12411179200
2015-08-27,1989.586,2095.456,1957.736,2094.722,11658547200
2015-08-28,2120.358,2167.898,2097.776,2159.958,11529985600
2015-08-31,2135.603,2214.105,2071.406,2210.447,11719305600
2015-09-01,2155.956,2239.458,2103.479,2230.321,15831033600
2015-09-02,2143.244,2248.766,2137.193,2243.631,16606144000
2015-09-07,2215.176,2247.441,2127.479,2133.978,8567205600
2015-09-08,2115.896,2185.404,2084.03,2180.131,6198041600
2015-09-09,2186.371,2225.269,2175.77,2211.2,7696297600
2015-09-10,2183.606,2218.137,2175.366,2208.481,5303532000
2015-09-11,2199.585,2218.822,2180.235,2195.391,3622196800
2015-09-14,2205.705,2228.957,2126.288,2228.154,8478536000
2015-09-15,2179.239,2188.357,2142.02,2175.173,5548432800
2015-09-16,2161.01,2277.583,2142.2,2241.949,5602654800
2015-09-17,2223.403,2260.85,2194.028,2194.823,5584288800
2015-09-18,2204.578,2226.751,2192.266,2198.99,3607430000
2015-09-21,2185.077,2220.024,2176.658,2214.448,3690151200
2015-09-22,2217.779,2259.071,2210.494,2237.314,4256376800
2015-09-23,2208.252,2219.241,2174.92,2178.546,3423454800
2015-09-24,2190.31,2198.492,2170.678,2188.088,2507485200
2015-09-25,2180.287,2191.36,2150.018,2183.404,3599200800
2015-09-28,2169.152,2175.97,2145.75,2169.941,2026861800
2015-09-29,2139.797,2145.987,2114.301,2127.203,2548256000
2015-09-30,2138.148,2161.712,2133.879,2146.118,2502692400
2015-10-08,2231.025,2231.242,2189.988,2191.343,3925563200
2015-10-09,2202.134,2226.423,2195.158,2219.294,3313522200
2015-10-12,2223.325,2308.189,2220.632,2283.429,6235454400
2015-10-13,2268.759,2282.041,2259.267,2270.948,3690453600
2015-10-14,2263.592,2284.62,2252.381,2253.908,4196146400
2015-10-15,2254.403,2297.956,2252.33,2297.901,4694218800
2015-10-16,2310.354,2328.304,2301.487,2323.775,6016847600
2015-10-19,2329.396,2346.346,2303.165,2318.472,5322538000
2015-10-20,2312.531,2337.798,2297.755,2337.08,4669890400
2015-10-21,2338.714,2369.371,2268.823,2340.36,9767172000
2015-10-22,2306.067,2337.401,2297.05,2331.791,5465178000
2015-10-23,2334.542,2350.119,2319.775,2343.965,4885481200
2015-10-26,2366.838,2381.713,2340.496,2350.02,5279820800
2015-10-27,2343.872,2353.648,2302.093,2349.904,4664322000
2015-10-28,2338.386,2342.453,2308.545,2310.703,4093916000
2015-10-29,2317.48,2323.451,2301.367,2307.345,2925758000
2015-10-30,2307.759,2336.039,2298.974,2312.974,3717355600
2015-11-02,2291.252,2310.828,2279.469,2280.092,3309899400
2015-11-03,2283.802,2294.415,2265.673,2271.653,2731711800
2015-11-04,2277.2,2374.019,2277.2,2370.503,6200030800
2015-11-05,2368.608,2503.65,2365.854,2440.651,14874521600
2015-11-06,2430.65,2501.403,2427.284,2493.484,10219929600
2015-11-09,2501.725,2592.194,2501.725,2534.084,13319084000
2015-11-10,2504.253,2559.828,2498.457,2522.683,9087222400
2015-11-11,2516.346,2517.506,2474.043,2505.83,6608939600
2015-11-12,2513.107,2513.701,2466.291,2476.429,5839126000
2015-11-13,2454.178,2481.175,2444.203,2447.773,5593073600
2015-11-16,2410.039,2447.5,2407.943,2447.293,4234411200
2015-11-17,2462.217,2514.463,2449.741,2453.257,6824470400
2015-11-18,2455.576,2473.447,2433.456,2439.447,5987262400
2015-11-19,2444.878,2469.007,2436.899,2468.488,4194923200
2015-11-20,2469.699,2483.891,2458.779,2466.757,4809942400
2015-11-23,2465.811,2485.415,2451.548,2456.84,4409032800
2015-11-24,2449.973,2452.352,2421.392,2447.904,4095241600
2015-11-25,2441.728,2460.184,2430.35,2459.563,4260290000
2015-11-26,2468.519,2481.39,2450.095,2450.962,4493662800
2015-11-27,2438.179,2439.699,2320.066,2334.44,5595359600
2015-11-30,2325.071,2347.844,2280.683,2336.29,5256162800
2015-12-01,2334.143,2365.149,2314.793,2344.833,4193491200
2015-12-02,2341.425,2463.905,2337.027,2458.411,8167693600
2015-12-03,2441.906,2481.537,2422.559,2461.449,8174400000
2015-12-04,2438.386,2442.248,2392.884,2397.562,4783854000
2015-12-07,2398.088,2404.912,2379.546,2395.584,2917439600
2015-12-08,2381.675,2386.277,2356.93,2364.344,3381369600
2015-12-09,2357.876,2386.281,2356.939,2369.738,2842059200
2015-12-10,2369.588,2402.688,2353.217,2357.209,3199761800
2015-12-11,2346.863,2357.08,2324.625,2342.453,3159044800
2015-12-14,2319.198,2418.564,2316.902,2414.917,4748665200
2015-12-15,2408.153,2410.086,2377.066,2383.832,3460835200
2015-12-16,2389.252,2394.171,2371.428,2376.535,2849092400
2015-12-17,2391.402,2424.904,2386.088,2408.321,4403512000
2015-12-18,2405.857,2466.346,2404.152,2422.835,5396733600
2015-12-21,2415.63,2513.486,2414.838,2500.064,7367108800
2015-12-22,2499.658,2506.87,2477.667,2496.054,5124880300
2015-12-23,2497.366,2550.899,2492.425,2503.059,6818885600
2015-12-24,2498.768,2505.703,2451.45,2481.754,4830384000
2015-12-25,2483.657,2496.838,2474.327,2492.336,2962302400
2015-12-28,2498.781,2502.333,2411.209,2411.408,4820059100
2015-12-29,2408.925,2435.621,2405.17,2432.88,2759730600
2015-12-30,2432.183,2434.521,2399.92,2432.773,2842066200
2015-12-31,2426.811,2437.716,2409.757,2420.801,2997272200
2016-01-04,2417.025,2417.025,2269.967,2270.461,3462085100
2016-01-05,2230.08,2309.594,2223.052,2288.113,4807596200
2016-01-06,2284.923,2321.169,2274.468,2317.647,3808882000
2016-01-07,2281.881,2281.934,2171.315,2180.589,1108157500
2016-01-08,2225.475,2257.41,2154.582,2219.612,5152593100
2016-01-11,2182.846,2202.323,2119.702,2120.234,4848350500
2016-01-12,2135.939,2151.399,2115.365,2131.368,3514437400
2016-01-13,2152.717,2157.508,2104.931,2105.507,3202494400
2016-01-14,2056.408,2136.063,2052.296,2132.076,3663096500
2016-01-15,2119.562,2128.948,2058.697,2070.928,3464162300
2016-01-18,2040.406,2092.402,2039.051,2069.275,2680609500
2016-01-19,2075.186,2135.362,2060.281,2128.574,3722216800
2016-01-20,2115.126,2124.151,2076.165,2088.723,3922114500
2016-01-21,2069.386,2112.734,2040.527,2040.978,3435451500
2016-01-22,2062.626,2074.166,2026.27,2061.962,2706519600
2016-01-25,2067.563,2074.895,2049.254,2065.444,2174107400
2016-01-26,2046.04,2050.446,1944.906,1951.614,3775143700
2016-01-27,1961.399,1972.164,1908.038,1953.465,3930266400
2016-01-28,1943.826,1960.946,1900.352,1912.721,2971655300
2016-01-29,1915.127,1986.721,1914.396,1973.005,3824287700
2016-02-01,1970.214,1973.1,1917.24,1937.073,2733516000
2016-02-02,1935.216,1978.286,1934.907,1969.616,2615654000
2016-02-03,1947.833,1955.089,1929.815,1952.367,2197008000
2016-02-04,1962.866,1983.252,1960.13,1974.236,2502030500
2016-02-05,1970.688,1979.391,1962.233,1967.26,2045579500
2016-02-15,1916.424,1958.22,1914.494,1948.275,1889323100
2016-02-16,1957.915,2005.416,1957.536,2000.903,3060729100
2016-02-17,1997.679,2020.084,1993.895,2014.443,3437354800
2016-02-18,2022.55,2034.161,2007.216,2009.273,3093860700
2016-02-19,2005.413,2013.781,1993.046,2004.107,2163929000
2016-02-22,2025.18,2064.61,2016.364,2053.863,3905928400
2016-02-23,2051.567,2051.567,2013.981,2029.522,2687619100
2016-02-24,2020.592,2041.883,2009.349,2041.388,2622891700
2016-02-25,2038.16,2038.181,1925.195,1932.602,4245956300
2016-02-26,1946.961,1965.915,1929.999,1955.395,2630676400
2016-02-29,1951.676,1953.318,1891.098,1944.611,3916158300
2016-03-01,1944.562,1988.567,1931.98,1973.194,2959585900
2016-03-02,1980.462,2045.825,1979.174,2043.407,5097880200
2016-03-03,2043.374,2057.163,2031.536,2053.273,4547667100
2016-03-04,2045.115,2128.569,2040.083,2122.269,8595312600
2016-03-07,2122.552,2133.557,2097.777,2107.673,4005873200
2016-03-08,2102.248,2118.042,2037.294,2115.158,3900335500
2016-03-09,2073.272,2112.859,2053.837,2111.919,3808329000
2016-03-10,2089.861,2102.986,2060.064,2061.451,2087298100
2016-03-11,2043.25,2071.091,2039.585,2070.724,2444346100
2016-03-14,2079.907,2117.831,2071.122,2078.41,3511461700
2016-03-15,2077.508,2105.038,2055.323,2101.117,3464713100
2016-03-16,2087.279,2142.16,2084.767,2136.128,6038157700
2016-03-17,2135.059,2156.891,2113.436,2131.481,3807790200
2016-03-18,2140.267,2165.147,2131.383,2141.177,6225762400
2016-03-21,2156.951,2214.643,2154.486,2193.385,7826466500
2016-03-22,2181.985,2196.368,2167.43,2173.256,5053124500
2016-03-23,2170.163,2186.02,2159.456,2175.283,3524766400
2016-03-24,2161.171,2161.171,2137.19,2137.59,3387992700
2016-03-25,2137.154,2156.804,2135.528,2149.204,2278104900
2016-03-28,2152.807,2166.922,2116.98,2123.035,2590590600
2016-03-29,2127.804,2133.809,2100.919,2106.862,2565460400
2016-03-30,2124.531,2160.497,2124.089,2157.53,3563382900
