Date,Close
20230907,5702.70
20230908,5708.62
20230911,5774.73
20230912,5770.93
20230913,5715.40
20230914,5702.10
20230915,5704.66
20230918,5719.69
20230919,5687.90
20230920,5651.01
20230921,5611.92
20230922,5698.82
20230925,5666.66
20230926,5646.65
20230927,5674.35
20230928,5690.77
20231009,5658.08
20231010,5630.37
20231011,5629.79
20231012,5671.64
20231013,5633.38
20231016,5580.67
20231017,5595.34
20231018,5524.60
20231019,5464.03
20231020,5423.67
20231023,5290.33
20231024,5352.01
20231025,5376.00
20231026,5398.93
20231027,5492.03
20231030,5546.39
20231031,5528.24
20231101,5509.97
20231102,5459.45
20231103,5510.36
20231106,5605.06
20231107,5611.10
20231108,5608.02
20231109,5592.06
20231110,5573.10
20231113,5605.57
20231114,5630.55
20231115,5664.62
20231116,5609.36
20231117,5631.42
20231120,5659.77
20231121,5641.08
20231122,5572.90
20231123,5622.99
20231124,5570.42
20231127,5566.51
20231128,5591.50
20231129,5553.33
20231130,5545.05
20231201,5566.87
20231204,5559.07
20231205,5460.41
20231206,5481.82
20231207,5481.14
20231208,5497.99
20231211,5564.85
20231212,5566.18
20231213,5507.51
20231214,5489.33
20231215,5449.79
20231218,5385.27
20231219,5379.87
20231220,5309.29
20231221,5338.76
20231222,5311.69
20231225,5315.37
20231226,5258.28
20231227,5285.53
20231228,5382.80
20231229,5429.23
20240102,5409.46
20240103,5401.40
20240104,5355.32
20240105,5281.87
20240108,5167.70
20240109,5180.65
20240110,5158.08
20240111,5223.86
20240112,5206.18
20240115,5193.30
20240116,5190.40
20240117,5061.54
20240118,5066.96
20240119,5018.43
20240122,4780.97
20240123,4865.74
20240124,4933.70
20240125,5073.18
20240126,5027.09
20240129,4927.91
20240130,4814.99
20240131,4696.98
20240201,4678.73
20240202,4563.22
20240205,4460.26
20240206,4805.90
20240207,5109.57
20240208,5150.23
20240219,5141.60
20240220,5140.96
20240221,5139.04
20240222,5176.34
20240223,5197.71
20240226,5195.46
20240227,5307.80
20240228,5184.05
20240229,5346.79
20240301,5379.05
20240304,5388.82
20240305,5351.83
20240306,5350.10
20240307,5277.30
20240308,5349.60
20240311,5441.05
20240312,5423.72
20240313,5415.11
20240314,5392.93
20240315,5454.15
20240318,5528.45
20240319,5478.22
20240320,5493.41
20240321,5465.83
20240322,5384.57
20240325,5294.75
20240326,5284.42
20240327,5156.68
20240328,5223.81
20240329,5286.16
20240401,5401.22
20240402,5381.23
20240403,5374.60
20240408,5298.59
20240409,5342.90
20240410,5275.47
20240411,5301.81
20240412,5277.22
20240415,5339.72
20240416,5191.55
20240417,5339.75
20240418,5349.84
20240419,5314.87
20240422,5267.58
20240423,5208.27
20240424,5263.04
20240425,5259.34
20240426,5372.12
20240429,5478.49
20240430,5441.14
20240506,5528.60
20240507,5527.08
20240508,5458.76
20240509,5556.77
20240510,5535.40
20240513,5505.26
20240514,5500.74
20240515,5446.66
20240516,5424.67
20240517,5491.89
20240520,5523.50
20240521,5478.91
20240522,5468.61
20240523,5362.31
20240524,5313.45
20240527,5371.37
20240528,5316.13
20240529,5328.31
20240530,5308.66
20240531,5308.54
20240603,5274.07
20240604,5341.95
20240605,5277.94
20240606,5228.80
20240607,5208.98
20240611,5217.47
20240612,5232.95
20240613,5194.59
20240614,5213.09
20240617,5207.13
20240618,5230.89
20240619,5168.82
20240620,5094.57
20240621,5102.33
20240624,4992.91
20240625,4948.63
20240626,5020.43
20240627,4928.05
20240628,4942.78
20240701,5003.16
20240702,4949.48
20240703,4910.92
20240704,4834.50
20240705,4866.26
20240708,4783.62
20240709,4876.90
20240710,4844.16
20240711,4939.73
20240712,4919.36
20240715,4883.90
20240716,4898.36
20240717,4856.58
20240718,4877.69
20240719,4872.05
20240722,4865.98
20240723,4722.80
20240724,4668.06
20240725,4665.45
20240726,4736.38
20240729,4708.84
20240730,4699.28
20240731,4886.41
20240801,4852.97
20240802,4788.62
20240805,4693.85
20240806,4750.78
20240807,4751.94
20240808,4755.81
20240809,4720.31
20240812,4714.16
20240813,4731.84
20240814,4667.07
20240815,4698.38
20240816,4670.38
20240819,4682.96
20240820,4602.01
20240821,4587.12
20240822,4533.37
20240823,4537.09
20240826,4544.36
20240827,4495.29
20240828,4500.01
20240829,4557.90
20240830,4639.11
20240902,4546.88
20240903,4596.48
20240904,4582.08
20240905,4601.09
20240906,4537.45
20240909,4507.19
20240910,4507.71
20240911,4514.92
20240912,4496.59
20240913,4450.96
20240918,4462.87
20240919,4520.39
20240920,4498.39
20240923,4494.69
20240924,4689.60
20240925,4731.48
20240926,4938.18
20240927,5201.67
20240930,5743.22
20241008,6155.58
20241009,5735.64
20241010,5690.88
20241011,5470.81
20241014,5608.15
20241015,5472.56
20241016,5461.09
20241017,5418.99
20241018,5640.02
20241021,5704.23
20241022,5753.85
20241023,5776.38
20241024,5726.70
20241025,5809.69
20241028,5883.72
20241029,5812.53
